Model,MAE,RMSE,R2
Linear Regression,14.412732779432872,19.351752003082566,0.5560236307987352
Lasso,14.544438408942453,19.622370652577903,0.5435195046737993
Decision Tree,13.61581205610869,18.826815679367876,0.5797835813418124
Random Forest,3.583341362241579,6.9374398439901395,0.9429418434553644
SVR,10.18949533826759,15.98044514022254,0.6972410288434767
MLP,5.018374300621968,8.419656962628693,0.9159557374282236
